" #news RT JenSeniorNY: Identical twin boys. At the age of two, one decides he's a girl. My review of ""Becoming Nico… https://t.co/j6p8U5iU2n ",Becoming Nicole
" Books of The Times: Review: ‘Becoming Nicole,’ a Young Boy’s Journey Into Girlhood https://t.co/cEcttt32fy https://t.co/xwnKO9WIqH ",Becoming Nicole
" Books of The Times: Review: 'Becoming Nicole,' a Young Boy's Journey Into Girlhood #books #literature https://t.co/2x9WVBko8Q ",Becoming Nicole
 Rare #bestseller #books #RareBooks #CollectibleBooks #UsedBooks https://t.co/Rc0d8mU3jG https://t.co/IDOcEzs5AT ,Becoming Nicole
" Damn, @JenSeniorNY does it again. Lovely review of ""Becoming Nicole"" (&amp; a great dress in exactly the right fabric) https://t.co/vSxnbVC6Dq ",Becoming Nicole
" nytimes: RT JenSeniorNY: Identical twin boys. At the age of two, one decides he's a girl. My review of ""Becoming N… https://t.co/3XxLclS2AF ",Becoming Nicole
 RT @fifan_123: Thank you for becoming white again @nicole_mourik ,Becoming Nicole
" RT JenSeniorNY: Identical twin boys. At the age of two, one decides he's a girl. My review of ""Becoming Nicole"" fo… https://t.co/4WemBqJmXP ",Becoming Nicole
" RT JenSeniorNY: Identical twin boys. At the age of two, one decides he's a girl. My review of ""Becoming Nicole"" fo… https://t.co/KXBpt8SATe ",Becoming Nicole
" RT JenSeniorNY: Identical twin boys. At the age of two, one decides he's a girl. My review of ""Becoming Nicole"" for the NYT: … ",Becoming Nicole
" nytimes: RT JenSeniorNY: Identical twin boys. At the age of two, one decides he's a girl. My review of ""Becoming N… https://t.co/Ax2XK2llRQ ",Becoming Nicole
" Identical twin boys. At the age of two, one decides he's a girl. My review of ""Becoming Nicole"" for the NYT:  https://t.co/9wM55ubuh7 ",Becoming Nicole
" nytimes: RT JenSeniorNY: Identical twin boys. At the age of two, one decides he's a girl. My review of ""Becoming Nicole"" for the NYT: … ",Becoming Nicole
" Books of The Times: Review: ‘Becoming Nicole,’ a Young Boy’s Journey Into Girlhood https://t.co/LaPRz1Rz1m ",Becoming Nicole
" Latest: Books of The Times: Review: ‘Becoming Nicole,’ a Young Boy’s Journey Into Girlhood https://t.co/4o0ofy6t3u #Books ",Becoming Nicole
" Books of The Times: Review: ‘Becoming Nicole,’ a Young Boy’s Journey Into Girlhood https://t.co/h1gWWmKObx ",Becoming Nicole
 RT @KaseySuffredini: new book by @amyellisnutt explores importance of #trans inclusion to family &amp; community: https://t.co/cfJlFWWkvJ #lgbt… ,Becoming Nicole
" Review: ‘Becoming Nicole,’ a Young Boy’s Journey Into Girlhood https://t.co/kgJVBhSBdx https://t.co/xOubMYLnyi ",Becoming Nicole
" https://t.co/dG4W1CTvdz Books of The Times: Review: ‘Becoming Nicole,’ a Young Boy’s Journey Into Girlhood https://t.co/9E0WK6re5f ",Becoming Nicole
 [Gay &amp; Lesbian] Becoming Nicole: The Transformation of an American Family https://t.co/1pyI4zMFjb #amazon #InstantFollowBack ,Becoming Nicole
" Review: ‘Becoming Nicole,’ a Young Boy’s Journey Into Girlhood https://t.co/CWN51STp4N ",Becoming Nicole
" Books of The Times: Review: ‘Becoming Nicole,’ a Young Boy’s Journey Into Girlhood https://t.co/s4JclFMJ4a ",Becoming Nicole
 new book by @amyellisnutt explores importance of #trans inclusion to family &amp; community: https://t.co/cfJlFWWkvJ #lgbt #mapoli ,Becoming Nicole
" Books of The Times: Review: ‘Becoming Nicole,’ a Young Boy’s Journey Into Girlhood https://t.co/9wbZmVC4BO ",Becoming Nicole
" Books of The Times: Review: ‘Becoming Nicole,’ a Young Boy’s Journey Into Girlhood. https://t.co/MtqPewLoWV ",Becoming Nicole
